³âµµ,È¸Â÷,ÃßÃ·ÀÏ,1µî´çÃ·ÀÚ¼ö,1µî´çÃ·±Ý¾×,2µî´çÃ·ÀÚ¼ö,2µî´çÃ·±Ý¾×,3µî´çÃ·ÀÚ¼ö,3µî´çÃ·±Ý¾×,4µî´çÃ·ÀÚ¼ö,4µî´çÃ·±Ý¾×,5µî´çÃ·ÀÚ¼ö,5µî´çÃ·±Ý¾×,´çÃ·¹øÈ£1,´çÃ·¹øÈ£2,´çÃ·¹øÈ£3,´çÃ·¹øÈ£4,´çÃ·¹øÈ£5,´çÃ·¹øÈ£6,´çÃ·¹øÈ£º¸³Ê½º
,750,2017.04.15,7,2522104286 ,44,66873978 ,"1,779",1653994 ,"93,135",50000 ,"1,585,532",5000 ,1,2,15,19,24,36,12
,749,2017.04.08,13,1350104395 ,64,45706660 ,"1,985",1473666 ,"95,573",50000 ,"1,589,197",5000 ,12,14,24,26,34,45,41
,748,2017.04.01,9,1928246542 ,59,49023218 ,"1,937",1493222 ,"99,448",50000 ,"1,652,756",5000 ,3,10,13,22,31,32,29
,747,2017.03.25,9,1903214584 ,59,48386812 ,"2,217",1287696 ,"105,307",50000 ,"1,713,003",5000 ,7,9,12,14,23,28,17
,746,2017.03.18,9,2038623709 ,58,52723027 ,"1,904",1606059 ,"94,197",50000 ,"1,589,291",5000 ,3,12,33,36,42,45,25
,745,2017.03.11,20,746822982 ,110,22631000 ,"3,692",674272 ,"141,918",50000 ,"1,955,276",5000 ,1,2,3,9,12,23,10
,744,2017.03.04,15,1155411575 ,61,47352934 ,"2,779",1039414 ,"109,229",50000 ,"1,636,793",5000 ,10,15,18,21,34,41,43
,743,2017.02.25,7,2608641000 ,46,66161185 ,"1,982",1535527 ,"91,886",50000 ,"1,555,362",5000 ,15,19,21,34,41,44,10
,742,2017.02.18,16,1111814813 ,44,67382716 ,"1,986",1492870 ,"98,348",50000 ,"1,658,556",5000 ,8,10,13,36,37,40,6
,741,2017.02.11,6,3043595938 ,55,55338108 ,"1,829",1664077 ,"95,007",50000 ,"1,619,435",5000 ,5,21,27,34,44,45,16
,740,2017.02.04,18,936929792 ,43,65367195 ,"2,447",1148668 ,"115,722",50000 ,"1,864,169",5000 ,4,8,9,16,17,19,31
,739,2017.01.28,4,4744122282 ,45,70283294 ,"1,942",1628604 ,"101,983",50000 ,"1,719,739",5000 ,7,22,29,33,34,35,30
,738,2017.01.21,11,1634191091 ,48,62417021 ,"1,640",1826840 ,"88,050",50000 ,"1,502,685",5000 ,23,27,28,38,42,43,36
,737,2017.01.14,4,4283061000 ,48,59486959 ,"1,937",1474122 ,"94,183",50000 ,"1,567,166",5000 ,13,15,18,24,27,41,11
,736,2017.01.07,5,3397362225 ,54,52428430 ,"2,250",1258283 ,"107,357",50000 ,"1,747,634",5000 ,2,11,17,18,21,27,6
2016,735,2016.12.31,10,1847231588 ,50,61574387 ,"2,269",1356862 ,"107,013",50000 ,"1,752,740",5000 ,5,10,13,27,37,41,4
,734,2016.12.24,9,1949395500 ,36,81224813 ,"1,758",1663307 ,"92,514",50000 ,"1,542,069",5000 ,6,16,37,38,41,45,18
,733,2016.12.17,4,4016725125 ,57,46979242 ,"1,966",1362064 ,"101,369",50000 ,"1,633,952",5000 ,11,24,32,33,35,40,13
,732,2016.12.10,7,2203270608 ,45,57121831 ,"2,061",1247202 ,"104,583",50000 ,"1,705,993",5000 ,2,4,5,17,27,32,43
,731,2016.12.03,7,2340471054 ,45,60678880 ,"1,908",1431106 ,"96,083",50000 ,"1,594,258",5000 ,2,7,13,25,42,45,39
,730,2016.11.26,8,2017382110 ,45,59774285 ,"1,741",1544999 ,"88,791",50000 ,"1,501,752",5000 ,4,10,14,15,18,22,39
,729,2016.11.19,4,4198250719 ,35,79966681 ,"1,875",1492712 ,"89,560",50000 ,"1,504,682",5000 ,11,17,21,26,36,45,16
,728,2016.11.12,5,3243464400 ,56,48265840 ,"1,869",1446168 ,"94,693",50000 ,"1,559,062",5000 ,3,6,10,30,34,37,36
,727,2016.11.05,14,1115107742 ,87,29907105 ,"2,064",1260620 ,"99,271",50000 ,"1,600,135",5000 ,7,8,10,19,21,31,20
,726,2016.10.29,14,1166872634 ,56,48619694 ,"2,099",1297143 ,"96,718",50000 ,"1,556,425",5000 ,1,11,21,23,34,44,24
,725,2016.10.22,11,1579217250 ,47,61600673 ,"1,795",1612943 ,"88,359",50000 ,"1,504,907",5000 ,6,7,19,21,41,43,38
,724,2016.10.15,12,1427789813 ,55,51919630 ,"1,833",1557873 ,"90,083",50000 ,"1,528,970",5000 ,2,8,33,35,37,41,14
,723,2016.10.08,8,2114365360 ,40,70478846 ,"1,777",1586469 ,"85,141",50000 ,"1,412,967",5000 ,20,30,33,35,36,44,22
,722,2016.10.01,4,4365422719 ,46,63266996 ,"1,688",1724101 ,"84,912",50000 ,"1,439,078",5000 ,12,14,21,30,39,43,45
,721,2016.09.24,8,2273767360 ,40,75792246 ,"1,607",1886553 ,"84,770",50000 ,"1,464,353",5000 ,1,28,35,41,43,44,31
,720,2016.09.17,14,1233770358 ,37,77805338 ,"1,778",1619122 ,"88,260",50000 ,"1,505,233",5000 ,1,12,29,34,36,37,41
,719,2016.09.10,9,1879581334 ,58,48609863 ,"2,020",1395729 ,"99,906",50000 ,"1,627,784",5000 ,4,8,13,19,20,43,26
,718,2016.09.03,17,926166464 ,64,41002162 ,"2,404",1091572 ,"114,614",50000 ,"1,595,315",5000 ,4,11,20,23,32,39,40
,717,2016.08.27,6,2702433688 ,47,57498590 ,"1,974",1369015 ,"96,836",50000 ,"1,567,530",5000 ,2,11,19,25,28,32,44
,716,2016.08.20,12,1358752157 ,35,77642981 ,"1,743",1559096 ,"88,628",50000 ,"1,469,730",5000 ,2,6,13,16,29,30,21
,715,2016.08.13,6,2605510438 ,61,42713286 ,"1,873",1391090 ,"90,747",50000 ,"1,503,174",5000 ,2,7,27,33,41,44,10
,714,2016.08.06,7,2085131733 ,46,52883776 ,"2,029",1198943 ,"96,576",50000 ,"1,551,993",5000 ,1,7,22,33,37,40,20
,713,2016.07.30,9,1714720917 ,50,51441628 ,"1,791",1436115 ,"87,920",50000 ,"1,470,125",5000 ,2,5,15,18,19,23,44
,712,2016.07.23,4,4034485125 ,47,57226740 ,"1,727",1557416 ,"86,066",50000 ,"1,449,521",5000 ,17,20,30,31,33,45,19
,711,2016.07.16,7,2277413358 ,44,60385961 ,"1,865",1424656 ,"89,898",50000 ,"1,465,123",5000 ,11,15,24,35,37,45,42
,710,2016.07.09,5,2895441150 ,57,42331011 ,"1,990",1212497 ,"102,058",50000 ,"1,627,229",5000 ,3,4,9,24,25,33,10
,709,2016.07.02,14,1165271625 ,44,61794708 ,"1,696",1603165 ,"82,305",50000 ,"1,385,853",5000 ,10,18,30,36,39,44,32
,708,2016.06.25,4,4099552219 ,52,52558362 ,"1,712",1596399 ,"86,091",50000 ,"1,446,865",5000 ,2,10,16,19,34,45,1
,707,2016.06.18,12,1322167313 ,74,35734252 ,"2,006",1318213 ,"94,281",50000 ,"1,507,647",5000 ,2,12,19,24,39,44,35
,706,2016.06.11,4,3831746063 ,51,50088184 ,"2,108",1211811 ,"95,376",50000 ,"1,531,393",5000 ,3,4,6,10,28,30,37
,705,2016.06.04,4,3987206532 ,49,54247708 ,"1,805",1472653 ,"87,931",50000 ,"1,453,654",5000 ,1,6,17,22,28,45,23
,704,2016.05.28,4,3865190344 ,47,54825395 ,"1,906",1351938 ,"95,021",50000 ,"1,519,932",5000 ,1,4,8,23,33,42,45
,703,2016.05.21,5,3235784100 ,51,52872290 ,"1,719",1568637 ,"84,194",50000 ,"1,416,580",5000 ,10,28,31,33,41,44,21
,702,2016.05.14,11,1465091387 ,46,58391324 ,"1,819",1476636 ,"88,043",50000 ,"1,443,954",5000 ,3,13,16,24,26,29,9
,701,2016.05.07,10,1583183175 ,40,65965966 ,"1,659",1590500 ,"81,917",50000 ,"1,404,422",5000 ,3,10,14,16,36,38,35
,700,2016.04.30,8,2082099188 ,41,67710543 ,"1,562",1777294 ,"82,874",50000 ,"1,414,076",5000 ,11,23,28,29,30,44,13
,699,2016.04.23,8,1995411375 ,50,53210970 ,"1,799",1478905 ,"90,504",50000 ,"1,512,397",5000 ,4,5,8,16,21,29,3
,698,2016.04.16,8,1921084125 ,48,53363448 ,"2,088",1226746 ,"97,965",50000 ,"1,550,364",5000 ,3,11,13,21,33,37,18
,697,2016.04.09,10,1531443038 ,90,28360057 ,"1,940",1315673 ,"99,698",50000 ,"1,615,786",5000 ,2,5,8,11,33,39,31
,696,2016.04.02,10,1632054413 ,44,61820243 ,"1,721",1580530 ,"90,020",50000 ,"1,501,952",5000 ,1,7,16,18,34,38,21
